TEXT,LABEL
Animal models have provided evidence of an association between gut microbiota and obesity.,"Animal research, In vivo studies"
"The purpose of this work is to investigate in vivo ectopic fat distribution and in vitro metabolite profiles given by HFDs, as well as how they are inter-related, in order to find surrogate metabolic biomarkers in the development of metabolic syndrome utilizing noninvasive approaches.","In vitro research, Laboratory research"
Descriptive study.,Cross-sectional study
"The shorter chain and saturated fatty acids were found significantly downregulated, e.g., myristate, myristoleate, palmitoleate, and stearate, while the levels of longer chain unsaturated essential fatty acids did not alter following the diet intervention.",Cross-sectional study
Prebiotic Inulin Supplementation and Peripheral Insulin Sensitivity in adults at Elevated Risk for Type 2 Diabetes: A Pilot Randomized Controlled Trial,Randomised controlled trial
"Subsequently, one sibling from each of the 102 sibling trios was randomly assigned to each experimental diet (Supplementary Table 1).",Randomised controlled trial
"The institutional Review Board of the National Center for Health Statistics (NCHS) approved the study protocol, and all participants provided written informed consent.",Randomised controlled trial
"FAHFA levels in a group of 18 morbidly obese subjects (BMI â?40 kg/m2) before (T1) and 6 months after bariatric surgery (laparoscopic sleeve gastrectomy) (T2) compared to 18 age- and sex-matched non-obese controls (BMI < 30 kg/m2) showed, that, except for 9-PAHPA, the levels of all other FAHFAs depicted were significantly different between non-obese and obese participants (T1) with higher levels in the non-obese group (Figure 2).",Cohort study
"Three samples did not meet quality control standards (one each from RC NoDS, HFD â?RC, and HFD NoDS conditions) and were not loaded onto the sequencer.","In vitro research, Laboratory research"
The ruminal fermentation parameters and the Î±-diversity indices were analyzed using a completely randomized design by one-way analysis of variance (IBM SPSS Statistics 25.0).,Randomised controlled trial
"First, patient adherence to the dietary intervention in this study was highly problematic, with PCOS patients having difficulty adhering to a single dietary model for 12 consecutive weeks.",Cohort study
"In order to elucidate whether these differences were due to the high obesity prevalence in the sample, stratified analyses by nutritional status were conducted.",Cohort study
"Allocation concealment was performed with SNOSE (sequentially numbered, opaque sealed envelopes).",Randomised controlled trial
"A meta-analysis showed that there is a U-shape relationship between eGFR and death rate; eGFR<â?0âml/min/173âm2 increases death rate incrementally, but eGFR>â?05âml/min/173âm2 results in a sharp decrease in death rate [38].",Meta-analysis
Clinical and demographical details of these cohorts are provided in Table 1.,Cohort study
"Moreover, the hepatic LDL receptor concentration was lower in the BWW group compared to the control group, implying that a lower uptake of LDL cholesterol from the circulation may have contributed to the lower liver cholesterol concentration in the BWW-fed rats.","Animal research, In vivo studies"
"The meal study had a crossover design with participants randomly allocated to a breakfast meal consisting of decorticated commercial white wheat bread (JÃ¤ttefranska, PÃ¥gen AB, MalmÃ¶) providing 40âg or 80âg of starch and 250âml of water on two separate test occasions, with a washout period of at least 7âdays between visits.",Randomised controlled trial
"Our findings are supported by epidemiological studies of TG and serum fatty acid composition and its association with the development of worsening glycemia, insulin resistance, the metabolic syndrome and T2DM [10]â[12], [39], [40].",Cohort study
A cross sectional study was conducted among men age 20â?9 years in one medium and one large size industries in the industrial Corridor of Eastern Nepal from July 2012 to July 2013.,Cross-sectional study
"38 Specifically, previous clinical studies, including those with a crossâsectional design, have shown that patients with SCZ had higher CRP values compared with the control group.",Cross-sectional study
"We followed the inclusion and exclusion criteria of C-RIDL protocol: Participants of the study were included if they are feeling subjectively well, older than 18 years with no upper limit of age for participation.",Cohort study
"In a prospective controlled study, metronidazole (a common antibiotic treatment for acute diarrhea) significantly altered the fecal microbiome and metabolome of healthy dogs, including a decrease in the abundance of Fusobacteria, which are key SCFA-producing bacteria, and the main bile acid converting bacterium Clostridium hiranonis that was associated with a reduction in secondary bile acids (165).",Cohort study
"Differences between our study and previous studies may be explained by differences in study design, age of participants and different methods to assess maternal PUFA status during pregnancy and childhood lipid and insulin/ glucose metabolism.8â?1,31,32 The previous studies all used fasting blood samples, whereas in our study we used non-fasting blood samples to measure childhood lipid and insulin metabolism.8â?0,32 Thus far, it remains unclear whether maternal PUFA status has different effects on offspring fasting vs non-fasting lipid and insulin metabolism.",Cohort study
"Prior to genome-wide association analysis, taxa at any taxon present in fewer than 75% of samples was discarded, yielding a total of 43 common taxa from different taxonomic levels (three phyla, five classes, six orders, 12 families, and 17 genus level taxa).",Cohort study
"However, it should be noted that our cohort is reflective of the 80% of preeclampsia that is of later onset, and it is well established in epidemiological studies that term/near-term preeclamptic women are still at increased risk of the long-term metabolic and cardiovascular complications (39,40).",Cohort study
"A genetic approach is favorable to observational studies as the genotype is not modified by the disease and is free from confounding [21,83].","Narrative review, Expert opinion, Editorial, Ideas"
Data were analyzed by one-way ANOVA followed by the Student-Newman-Keuls test for experimental study and paired t-test for clinical trial.,Randomised controlled trial
A rat model of mild hypercaloric (HC) intake was used to represent the insidious cardiovascular changes associated with early metabolic impairment.,"Animal research, In vivo studies"
GWAS and EWAS analyses generated a large number of hypotheses requiring careful corrections for multiple testing.,Cross-sectional study
"Between October 2013 and December 2016, 6,874 participants were recruited in Spain and were randomly assigned to either an intensive lifestyle intervention or standard medical care in a 1:1 ratio.",Randomised controlled trial
"Next, in longitudinal analyses, we fitted multivariable regression models, using data available at all follow-up visits for the entire cohort of children, to control for confounding and to introduce temporality.",Cohort study
"For the purpose of the study, we asked our patients to take clopidogrel treatment as late as possible.",Randomised controlled trial
"Nevertheless, by using a repeated measures study design we clearly focused on the metabolism of D3G in comparison to that of DON.",Cohort study
"Here, we could unequivocally show that cGLE and GFESFE significantly reduce blood glucose levels in a timeâdependent manner when compared to the glucose control group in C57BL/6N mice.","Animal research, In vivo studies"
Informed written consent was waived because the study was a retrospective data analysis.,Cohort study
"Three-day food records (two weekdays, one weekend day) were taken at baseline and endpoint from control and intervention groups.",Randomised controlled trial
"Dietary supplementation as therapeutic strategy merits further investigation, as it would be easy to implement in clinical practice.","Narrative review, Expert opinion, Editorial, Ideas"
"Obesity, Lifestyle and Diabetes in Brazil (BOLD) is a cross-sectional study in young healthy Brazilian adults aged 19â?4 years enrolled at the Federal University of GoiÃ¡s (UFG) between the months of March and June 2019.",Cross-sectional study
A homogeneous sample consisting of professional handball players was purposively selected for a dietary intervention study.,Cohort study
Those interested in participating were assessed according to the inclusion and exclusion criteria.,Randomised controlled trial
"However, in two prospective cohort studies of UK and French adults, a diet with a higher proportion of UPFs was associated with an increased risk of type 2 diabetes (T2D) [20,21].",Cohort study
GWAS and EWAS of fasting sterol and fatty acid concentrations highlighted several regions of interest with biologically plausible association.,Cross-sectional study
"Enrolled participants were randomly allocated to consume either two eggs per day (EGGS) or one packet of oatmeal per day (OATS) for four weeks (Big Y Foods, Inc., Springfield, MA, USA).",Randomised controlled trial
"ACE inhibitory drugs have been found to improve circulating cholesterol and lipid profiles in both human and animal studies (Ravid et al., 1995; VasiljeviÄ et al., 1999; Dost et al., 2014).","Animal research, In vivo studies"
Further support is provided by cohort studies finding biomarkers of obesity reduced in participants with high WG intake [7].,Cohort study
Reverse causation remains a problem related to the cross-sectional nature of our main analysis.,Cross-sectional study
"To verify the accuracy of the measurement procedure, the Biochemistry Control Urine and calibration of the device was performed, following our internal quality control scheme.","In vitro research, Laboratory research"
"To maximize the weight loss associated with VSG and stabilize the microbiome, a diet-switch combined with probiotic administration may maximize health gains by counteracting HFD effects and reduce body weight [39, 51].","In vitro research, Laboratory research"
"This is a pilot study aiming to investigate the combination of the mentioned prebiotics altogether, constituting the actual prebiotic to test that was formulated ad hoc based on preliminary studies and the state-of-the-art in prebiotics for animal nutrition.",Cohort study
"During the training events, the pediatricians were informed about the design of the study, inclusion/exclusion criteria to be applied for the enrollment of mother-child pairs, management of tools required by the study, i.e., informed consent, questionnaire, and food diary available in both paper and online formats, and kit for urine sampling.",Cohort study
"For this, an ANCOVA model was used with multiple factors: intervention group (FMP, control), potential predictor (eg fasting H2 value T0 prior to intervention) and the interaction âintervention group*predictorâ?",Randomised controlled trial
"Firstly, the articles included in the meta-analysis are RCTs which have fewer methodological biases than observational studies such as case-control studies or cohort studies.",Meta-analysis
The ethical approval number is: HULP-PI-1793 from The Regional Ethics Committee for Clinical Research of the âHospital Universitario La Pazâ?(CEIC-R IdiPAZ).).,Cohort study
"The lack of treatment effect contrasts with results from an in vitro digestion model experiment, where butyrate significantly increased after almond treatment (55).","In vitro research, Laboratory research"
"In EWAS Manhattan plots, users can organize variables into categories along the x-axis, analogous to how SNPs are organized into chromosomes for GWAS, so patterns of significance across categories can be easily observed.","Narrative review, Expert opinion, Editorial, Ideas"
"Among the control group, F/B ratio had significant positive correlations with SBP, WC, leptin and HDL-C, and significant negative correlations with AST, ALT, insulin, triglycerides and total cholesterol.",Cohort study
"The study intervention involved having all participants maintain 2 dietary patterns, the WFKD and Med-Plus, for 12 weeks each.",Randomised controlled trial
"The 6-month change in dietary protein intake or serum creatinine was examined for its association with significant 6-month change in gut bacterial-related PCA factors and included adjustment for sex, age, whey/placebo group designation, 6-month fat or BMI change (depending on whether the PCA factor was associated with LP/Lean or SPPB and 400-m) and baseline dietary protein intake or creatinine, respectively.",Cohort study
"All animal experiments were done in male C57Bl/6J mice (JAXâ?Mice Strain, Charles River Laboratories, Germany).","Animal research, In vivo studies"
"It is prudent to note that this was an underpowered exploratory outcome, and the observed difference may have been due to chance with the numeric increase in eGFR in the placebo group.",Randomised controlled trial
Average intake of taurine was significantly higher in functional constipation patients than control group [33].,Non-randomised controlled trial
"After being thawed, the analysis of plasma glycerophospholipid PUFA composition was performed using gas chromatography by a sensitive and precise high-throughput method, suitable for large epidemiological studies, as previously described.14 Based on findings from previous studies, for our analyses we selected maternal PUFA that have been associated with the risk of cardiovascular and metabolic outcomes in adults, and with pregnancy and fetal outcomes.8,15 Selected total maternal PUFA were total n-3 PUFA, which included: Î±-linolenic acid (ALA, C18:3n3), eicosapentaenoic acid (EPA, C20:5n3), docosapentaenoic acid (DPA,C22:5n-3) and docosahexaenoic acid (DHA, C22:6n3).",Cohort study
"Hence, in the case of elderly people with CVD clinical history, we suggest considering stricter inclusion criteria at around 65yo instead of 75yo.",Cohort study
"Eligible participants were assigned equally through consecutive sampling to an experimental group that received HIIT alongside a low-fat diet and carboxytherapy, and an active control group that received a low-fat diet plus carboxytherapy only.",Randomised controlled trial
"The study design will consist of four phases with 28 days per phase, and each phase will be separated by 4-week washout periods (Fig.",Randomised controlled trial
"Experimental design and procedures in this study were reviewed and approved by the Animal Ethics Committee of Jimei University, Xiamen, China (Approval number: 2011-58).","Animal research, In vivo studies"
"For example, amygdalin is amandelonitrile glycoside found in almonds and fruit pits that was used as an alternative cancer treatment in the 1960s (103), although clinical trials demonstrated no improvements in cancer survival or symptoms (104).",Randomised controlled trial
"Additionally, excluding the two cohorts led to similar pooled results (MD â?.29 kg, 95% CI â?.30, â?.28).",Cohort study
"In addition to lowering lipids, clinical studies have also provided evidence on the role of dietary berries in decreasing surrogate markers of atherosclerosis, including biomarkers of oxidative stress and inflammation.",Cohort study
"To properly address this matter, we hope that our pilot study may pave the way for bigger and more detailed interventions aimed at understanding the absorption, metabolism, and perhaps the microbiota contribution to the CPFAs circulating panel.",Case series
"In order to study the effect of Cornus officinalis and its processed products on the treatment of DN, this study replicated the DN rat model of streptozotocin model, and treated the DN rats with 281.25 mg/kg Cornus officinalis, 281.25 mg/kg wine Cornus officinalis and 281.25 mg/kg wine honey Cornus officinalis.","Animal research, In vivo studies"
"Meanwhile, HDL-c levels were decreased, which showed that the fatty liver rat model has been successfully established.","Animal research, In vivo studies"
"Thus, based on these mechanisms, previous epidemiological studies have demonstrated that hyperuricemia is associated with MetS [30,31].",Cohort study
The entire study was performed according to CONSORT (Consolidated Standards of Reporting Trials) and the Guideline for Good Clinical Practice.,Randomised controlled trial
"The reasons for leaving the study in the intervention group were diarrhoea (n = 2), nauseous (n = 1) and taste intolerance (n = 2).",Randomised controlled trial
"â¢In SCI subjects, BMD was positively associated with adiposity.â¢Adipokine regulation may be more important for bone status in chronic SCI.â¢Compromised BMD in SCI was not attributed to suboptimal vitamin D or bone nutrients.â¢Widespread variability in SCI stage/severity may have influenced lack of association.â¢Suboptimal 25(OH)D status was seen in 60% of an SCI cohort, despite vitamin D supplement use in 63%.",Cohort study
The study was registered with the Australian and New Zealand Clinical Trials Registry (ACTRN12617000324314).,Randomised controlled trial
"RBO was examined at different inclusion levels, 0% (control), 1% (RBO1%), 1.5% (RBO1.5%), and 2% (RBO2%) in a completely randomized design.",Randomised controlled trial
"At baseline, the serum Ox-LDL levels were not significantly different between the placebo and PLP groups (Figure 2A).",Randomised controlled trial
"Army Research Institute of Environmental Medicine (Natick, MA) and the Office of the Assistant Secretary of Defense for Health Affairs/TRICARE Management Activity (OASD (HA)/TMA), Human Research Protection Office.","Animal research, In vivo studies"
"These results suggest that aside from the favorable effect on myocardial oxygen consumption as suggested by lower HR x BP product, nutritional adequacy in terms of adherence to the PNNS guidelines could prevent deterioration in cardiovascular risk integrators with age.","Narrative review, Expert opinion, Editorial, Ideas"
There were some key limitations including diet and exercise which were not strictly recorded during the clinical trial.,Randomised controlled trial
"In sensitivity analysis, the majority of the heterogeneity among food-based trials was explained by the two groups of one study52 that achieved the largest weight loss (7.5â?.2 kg), largest increase in Î±-diversity (SMD..",Randomised controlled trial
"Contrary to the above, in one case report, an asymptomatic infant was tested and found to be negative for viral RNA in stool specimens, even though he had been in close contact with his parents who tested positive for the virus (Amirian, 2020; Kam et al., 2020).",Case report
The number of items varied for each category because exploratory factor analyses in the pilot study showed that certain items formed a more reliable scale that varied per category.,Cohort study
"NHANES is a comprehensive, cross-sectional, annual survey conducted in the U.S.",Cross-sectional study
"The present data clearly indicated that the overproduction of free radicals compromised in vivo antioxidant defenses and oxidative stress, but it was neutralized by antioxidant intake (foraging behaviors) resulting in the not oxidatively damaged meat (i.e., walking genotypes).","In vitro research, Laboratory research"
"The study was conducted according to the guidelines of the Declaration of Helsinki, and approved by the Ethical Review Board at UmeÃ¥ University, UmeÃ¥, Sweden (Dnr 2014-361-31M; date 8 January 2015, and Dnr 2015-45-32M; date 19 February 2015).",Cohort study
"Along with human studies connecting altered gut microbiota to obesity, it has been previously reported that deficiencies in innate immune factors, such as toll-like receptor-5 (TLR-5), have been associated with significant alterations in gut microbiota and adiposity [44].",Cohort study
"The piglets in the control group were fed with a basal diet containing 75 mg/kg aureomycin (Diet 1 group), and those in the three experimental groups were fed a basal diet with the following supplements: 50 mg/kg aureomycin (Diet 2 group), 50 mg/kg aureomycinâ?â?âÃâ?05 CFU/g E.","Animal research, In vivo studies"
"This crossover trial assessed the effects of WG and RM products on the composition of intestinal microbiota, anthropometry, several blood parameters and faecal biomarkers.",Randomised controlled trial
"Any pharmacological therapy, smoking and alcohol abuse were among the exclusion criteria.",Randomised controlled trial
"All applicable international, national, and institutional guidelines for the care and use of research animals were followed.","Animal research, In vivo studies"
The inconsistency in the effect of TMAO on PAH-related parameters between clinical and animal studies may mainly be due to the difference in the disease course.,"Animal research, In vivo studies"
"The inclusion of an exercise intervention may aid in further understanding the influence of GAHT in trained individuals, with implications for competitive sports.",Randomised controlled trial
In a significant animal study by Cheng et al.,"Animal research, In vivo studies"
"FROGS v1.3.0 guidelines were used for the analysis of targeted metagenomics sequences, and clustered into OTUs with the Swarm algorithm before taxonomic assignment [17].","Narrative review, Expert opinion, Editorial, Ideas"
"For each permutation, one network was estimated per group and distributions of the difference in network indices between case and control networks were generated for statistical inference.",Case-control study
"Serum concentrations of total cholesterol, cholesteryl ester, LDL cholesterol and HDL cholesterol were significantly lower in the BWW group compared to the control group, while the serum concentration of total bile acids was similar between the two groups (Table 3).",Non-randomised controlled trial
"Nevertheless, our results are plausible given the results from in vitro and in vivo studies.","In vitro research, Laboratory research"
"Genetic variants were selected from genome-wide association study (GWAS) results for the 3GO risk, where GWAS was conducted using EditPlus software after adjusting for age, gender, residence area, and BMI.",Cohort study
"According to each participant's total energy intake (which were calculated using 3-days 24-h dietary recall at baseline), hazelnuts replaced 10% of total daily calorie intake in the intervention group.",Randomised controlled trial
A scheme of the experimental design is shown in electronic supplementary material (ESM) Fig.,"In vitro research, Laboratory research"
"Due to the significantly different booking BMIs between cohorts, with preeclampsia affecting a greater proportion of obese women, it is likely that these differences were already present.",Cohort study
"Children included in this cross-sectional study are a subsample (n = 204) from the âObesity Research Study for Mexican Childrenâ?(ORSMEC), which includes school-age children (6 to 12 years) recruited from a summer camp of Mexican Health Ministry employees (Convivencia Infantil, Sindicato de la SecretarÃ­a de Salud) and Hospital Infantil de MÃ©xico Federico GÃ³mez, as detailed elsewhere [22].",Cross-sectional study
"A 20-day randomized intervention was conducted by providing the intervention group (n = 45) with high fiber cereal (90 g of product containing 11 g of dietary fiber, 60 g of carbohydrates, 10.5 g of protein, and 2.8 g of fat) to consume daily at the Sohor meal and comparing the results with those of a control group maintaining their habitual diets (n = 36; no consumption of high fiber cereal).",Randomised controlled trial
"A further participant withdrew from the study after the interim time point due to illness, most likely due to following the LCHF diet, therefore 15 participants completed the intervention but all 16 were included in the intention to treat analysis.",Randomised controlled trial
"The inclusion of the Lean-Control group, which had never been obese nor consumed the HFS diet, allowed us to determine if our intervention could mitigate the effects of obesity induction and restore pregnancy outcomes to those of the normal reference rats.",Non-randomised controlled trial
The two cohorts indicating a high risk of bias belonged to the same study [65].,Cohort study
"Enzymatic activities of SOD (P<0.01), CAT (P<0.01) and GPx (P<0.001) were significantly inhibited in renal tissue of HCD fed rats compared to control animals.","Animal research, In vivo studies"
The present study evaluated fecal microbiota and metabolite concentrations following a randomized controlled trial where adults with overweight and obesity consumed a daily meal with or without avocado for 12 wk.,Randomised controlled trial
"NIH guidelines were followed while handling and experimentation on animals (NIH, 2011).","Animal research, In vivo studies"
"In conclusion, this is the first study in which LDL oxidative susceptibility and response to HDL incubation, serum APOA1 as well as mRNA hepatic expression and urinary albumin excretion are analysed in an obesity related type II diabetes rat model subjected to either a dietary intervention or a pharmacologic modulation of PPAR gamma with telmisartan.","Animal research, In vivo studies"
The median compliance with capsules intake (%) was 99.0 (97.6; 100.0) in the cocoa group and 100.0 (98.0; 100.0) in the placebo group.,Randomised controlled trial
"We found that diet interventions affected levels of several glycerophospholipids, in particular PCs, PEs, LPCs, and SMs.",Cohort study
The primary outcomes were ex vivo human platelet aggregation and circulating plasminogen activator inhibitor-1 (PAI-1) and P-selectin (sP-selectin) concentrations.,"In vitro research, Laboratory research"
"Importantly, evidence from prospective studies and well-controlled intervention trials in this field is warranted to infer causality.",Cohort study
"In the control group, no CyHV-2 was detected and no clinical symptoms were observed ( Figures S1A, B ).",Non-randomised controlled trial
We found HDL ORAC to not be related to the serum tocopherol concentration at cross sectional points but we did detect relationships between changes in HDL ORAC which showed moderately positive correlations with tocopherol and Î²-carotene.,Cross-sectional study
A randomized controlled parallel design was used to compare the effect of a test diet (PACER diet; intervention group) vs.,Randomised controlled trial
"This study protocol was approved by the Institutional Review Boards at all participating institutions, including Washington University in St.",Cohort study
Dietary intake values which estimated the average of the requirements for the different groups were compared with national dietary guidelines [29].,"Narrative review, Expert opinion, Editorial, Ideas"
Expression of key proteins of TRL formation such as MTP and L-FABP was similar in MetS and controls indicating that the differences observed after the lipid gavage were specific to the postprandial state.,Cross-sectional study
"The inference, anticipated in the study design, is that the dosage form would have little significant impact on the bioavailability and efficacy of the AREDS nutrients.",Randomised controlled trial
The aim of this meta-analysis was to assess the relationship between low-carbohydrate diets and cardiovascular risk factors.,Meta-analysis
"In a clinical study, 16 patients with MS were assigned to 2 groups which respectively received intermittent energy restriction (IER) and ad libitum treatments after controlling baseline (Cignarella et al., 2018).",Non-randomised controlled trial
"While our data do not elucidate whether the decrease in plaqueâassociated smooth muscle cells results from impaired migration, induced apoptosis, or reduced proliferation, our findings are consistent with previous reports that bilirubin directly inhibits smooth muscle cell proliferation in vitro and in response to balloon injury in vivo.63 Since it also has been shown that chlorotyrosine promotes aortic smooth muscle cell migration,64 our demonstration that bilirubin reduces the formation of this oxidative byâproduct suggests an additional mechanism by which bilirubin may prevent plaque maturation.","In vitro research, Laboratory research"
"A prospective cohort study was designed using the AnsanâAnsung data of the Korean Genome and Epidemiology Study (nâ?â?,358; age â?0 years at baseline).",Cohort study
"After correction for multiple testing, we found no significant differences between cohorts with respect to relative abundances of bacterial phyla, families, or genera at either 9 or 18 months, and no differences in the changes occurring from 9 to 18 months between the two cohorts were identified (Fig.",Cohort study
"After quality control, we had data for 461,281 CpGs.",Cohort study
"Participants with low (â?4 copies, n = 9) and high (â?10 copies, n = 10) AMY1 CN were recruited for a crossover meal study to compare postprandial glycemic and insulinemic responses to 40âg and 80âg starch from white wheat bread.",Cohort study
"The first, ARCHGUT, enrolled pregnant women as a subgroup of the Archive for Research in Child Health (ARCH) pregnancy cohort [12].",Cohort study
"Differences in populations studied, study design, study instruments and methods may have contributed to these inconsistencies.","Narrative review, Expert opinion, Editorial, Ideas"
"After weaning (PN21), male offspring were housed in pairs and continued respective intervention diets until PN42.",Cohort study
"Extracted data included: study design, country, sample size, sociodemographic information, measurement methods, main findings, funding source, markers of health (anthropometric measurements, blood pressure, blood profile, mental health) and lifestyle health behaviours (diet, physical activity, addictive behaviours).",Systematic analysis
"The study was conducted according to the guidelines of the Declaration of Helsinki and the protocol was approved by the ethics committees of the University of Bonn (project identification code 037/16, date of approval 10 February 2016) and of the Medical Association of North Rhine (project identification code 2016143, date of approval 25 May 2016).",Cohort study
Critical Leaf Magnesium Thresholds and the Impact of Magnesium on Plant Growth and Photo-Oxidative Defense: A Systematic Review and Meta-Analysis From 70 Years of Research,Meta-analysis
"The traits that were repeatedly recorded within a time interval were evaluated with a mixed model, according to the three-period crossover trial model with repeated measurements [45], to test the effects of treatment, time, and their interaction (treatment Ã time) on each parameter.",Randomised controlled trial
We subsequently conducted stratified analysis if a significant interaction (pâ?â?.05) was observed.,Systematic analysis
"Ability of a Polyphenol-Rich Nutraceutical to Reduce Central Nervous System Lipid Peroxidation by Analysis of Oxylipins in Urine: A Randomized, Double-Blind, Placebo-Controlled Clinical Trial",Randomised controlled trial
"DZMEC-KY-2018-47), and written informed consent was obtained from each patient.",Randomised controlled trial
Blood glucose and AUC measured before and after 10-weeks of diet and/or exercise intervention is presented in Table 1.,Randomised controlled trial
The result of this cross-sectional study demonstrated that low HDL-C levels were associated with reduced eGFR.,Cross-sectional study
Parents and clinicians identified this research question as important and relevant in a qualitative study using interviews and online questionnaires.27 A TARGet Kids!,Case series
Fifty-five patients were randomised in the placebo group and 51 patients were assigned to the inulin group.,Randomised controlled trial
"Although the resistance exercise training program mitigated the physical inactivity-induced muscle atrophy (0.5 Â± 1.2 kg lost in the exercise group versus 2.4 Â± 1.9 kg lost in the control group), the substrate oxidation rates, the hyperinsulinemia, and the hyperlipidemia induced by bed rest were not restored by exercise to their basal values.",Randomised controlled trial
"Thereafter, subjects were randomized to two different diet phases, each lasting for 8 weeks (separated by a 4-week washout period, during which study subjects again followed a nut-free Western-type diet).",Randomised controlled trial
Data describing the control group are presented in Table 1.,Non-randomised controlled trial
"Local ethics committees approved the study (MEC 05â?97), and all participants gave written informed consent before participation in the study.",Randomised controlled trial
Epidemiologic observations and clinical trials have consistently documented a positive relation between LDL-C concentrations and cardiovascular diseases (CVD) risk and a negative relation between HDL-C concentrations and CVD risk [23].,Randomised controlled trial
We performed a pilot study on the health effects of glyphosate and its formulation Roundup administered at currently admitted doses (US ADIâ?â?.75 mg/kg bw/day) to SD rats.,Case series
"Fastp (Chen et al., 2018) software was used to perform quality control on the original sequencing sequence, and FLASH (MagoÄ and Salzberg, 2011) software was used for splicing: 1) Filter the bases with a tail mass value of less than 20 in the reads, and set a 50 bp window.","In vitro research, Laboratory research"
"Conceptual background, goals, settings, type of programs, type and number of interventions, type and number of indicators, and (cost) effectiveness were evaluated in both the 21 systematic reviews and the individual diabetes care programs.",Systematic analysis
"They were compared within two groups: Higenamine (Experimental) and Placebo before and after the intervention period of 21 days, as well as between the groups.",Randomised controlled trial
"Moreover, given the cross-sectional design of this study, no causality relationships between predictors and outcomes can be set.",Cross-sectional study
The result for SBP in the present study was in line with previous studies showing significant reduction in the intervention group.,Non-randomised controlled trial
Our study found that a short-term low-Zn diet (0âmg/kg) and a long-term high-zinc diet (150âmg/kg) had obvious negative effects in a mouse model.,"Animal research, In vivo studies"
"Together, these population studies support findings from our study and mechanistic trials, in that lipid profiles indicative of lipid loading promote selective leukocytosis, whereas HDL-mediated pathways are associated with suppressed leukocytosis [19,24,25,69].",Cohort study
"The OmniHeart trial was a crossâover study, in which participants served as their own control.",Randomised controlled trial
The present cross-sectional study was performed on male military personnel in September 2020.,Cross-sectional study
"When no baseline value was reported, as in some crossover studies, we summarized the intervention effect by the ratio of the difference in final values between LFHC- and HFLC-diet groups to the final value in the HFLC-diet group and assumed that the baseline SE was equal to the final SE.",Randomised controlled trial
"In this acute intervention study, we examined whether the consumption of orange juice or a hesperidin supplement, matched for vitamin C, would result in acute effects on endothelial function and a number of previously unassessed cardiovascular risk biomarkers, including central arterial stiffness (assessed by central pulse wave velocity and augmentation index), cardiac baroreflex sensitivity, platelet reactivity, and NADPH oxidase gene expression.",Randomised controlled trial
"Clinical guidelines for optimal HDL-C levels are distinct for men (>40 mg/dL) and women (>50 mg/dL) [35,36], and men often present with higher total cholesterol, LDL-C, and triglycerides as compared to premenopausal women, although these trends are equalized or reversed in post-menopausal women [56,58,59].","Narrative review, Expert opinion, Editorial, Ideas"
[6] could reflect FA concentrations lower than what is expected of the average NA and is representative of a cohort that has reduced risk factors of chronic disease.,Cohort study
The cross-sectional design implies that no potential temporal relations can be drawn.,Cross-sectional study
"The change in SI was 32.3Â±41.9% in the WR group and 6.3Â±52.1% in the control group (pâ?â?.074, WR vs.",Non-randomised controlled trial
"Consistent with the animal study, improved blood lipid profiles and gut microbiota modulation was observed in the subjects of this trial who received multi-strain probiotics.","Animal research, In vivo studies"
"At weaning, 20 male pigs were selected according to weight and randomly assigned to dietary treatment.",Randomised controlled trial
"In the present trial, no difference between the FMP and the control intervention were found on study endpoints when considering the whole cohort.",Randomised controlled trial
An advantage in terms of compliance is the fact that patients only have to take a single dose of the probiotic or placebo for a relatively short period.,Randomised controlled trial
This is most likely due to different mouse models and/or diet may play a part in the formation of AÎ² species.,"Animal research, In vivo studies"
A two-stage random sampling procedure was filled up.,Randomised controlled trial
"As shown, caffeic acid was almost absent in samples from the control group.",Non-randomised controlled trial
"The Karlsruhe Metabolomics and Nutrition (KarMeN) study is a cross-sectional study that was performed at the Max Rubner-Institut (MRI) in Karlsruhe, Germany, between 2011 and 2013 and was described in detail by Bub et al.",Cross-sectional study
"In a previous analysis, we identified time of defecation as one of the main factors responsible for interindividual differences in microbiota composition in the KORA FF4 cohort [22].",Cohort study
"A recent systematic review and meta-analysis analysed 10 randomized clinical trials (RCTs) that employed the modified Dietary Approaches to Stop Hypertension (DASH) diet, characterized by a diet low in sodium and enriched in fruits, grains, vegetables and low-fat dairy foods [11].",Meta-analysis
"Between 18 May 2017 and 17 November 2017, CBC tests were performed on 241 whole blood samples collected at 15 days before inoculation and at 0, 5, 15, 45, 75, 105, 135, and 165 DPI, including 113 and 128 samples in the intervention and control groups, respectively.",Randomised controlled trial
"To examine this more closely, we normalized the peak values of each lipid species, the Z-scores for each lipid species quantified in vitro are depicted in Fig 3B.","In vitro research, Laboratory research"
"Complex interventions often have particular characteristics that reduce chances of success in a RCT, including the incorporation of multiple components, targeting multiple outcomes, being difficult to implement or evaluate, or aiming to achieve outcomes that are notoriously difficult to influence [72].",Randomised controlled trial
"Additionally, we found several correlations at both points (baseline and after 6 months of the lifestyle intervention) between the miRNAs and circulating lipids, BMI/weight, and with gene expression for genes involved in glucose regulation and T2DM.",Cohort study
