PMCID,ORIGINAL SENTENCE,NER ANNOTATION,IAO SECTION
PMC5532999_v1,"While other antioxidants, such as tocopherols,66 have the potential to exert similar effects, bilirubin is unique in its ability to readily diffuse into cells67 and to be continuously regenerated by intracellular redox cycling through the action of the ubiquitous biliverdin reductase enzyme.18 It is notable that endothelial adhesion molecules have been implicated in the pathogenesis of a number of inflammatory disorders,10, 20, 68, 69, 70, 71, 72 and bilirubin has been shown to ameliorate animal models of VCAM‐1‐ and ICAM‐1‐mediated inflammation, including colitis,20 allergic pneumonitis,19 and encephalomyelitis.73 Given that the inducible isoform of HO‐1, which catalyzes the rate‐limiting step in bilirubin synthesis, appears to play a key role in attenuating inflammation,74 we speculate that HO‐1‐generated bilirubin may serve a fundamental physiological function with regard to regulation of inflammatory responses.","[{""entity_group"": ""methodology"", ""word"": ""animal models"", ""start"": 494, ""end"": 507, ""score"": 0.9997969269752502}]",IAO:0000319 discussion section
PMC5534341_v1,Microbial genes and enzymes will provide both specific targets for manipulation and diagnostic markers that can be incorporated into clinical studies and practice.,"[{""entity_group"": ""methodology"", ""word"": ""clinical studies"", ""start"": 133, ""end"": 149, ""score"": 0.9989148378372192}]",IAO:0000315 textual abstract section
PMC5534341_v1,"Biochemical and structural characterization of gut microbial reductases has uncovered individual enzymes that display broad substrate scope and can transform multiple functional groups; consequently, their endogenous substrates and in vivo relevance are often unclear.","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 232, ""end"": 239, ""score"": 0.9869973659515381}]",IAO:0000314 document part
PMC5534341_v1,Animal experiments also suggest that cholesterolreducing bacteria may decrease serum cholesterol (61).,"[{""entity_group"": ""methodology"", ""word"": ""animal experiments"", ""start"": 0, ""end"": 18, ""score"": 0.9993423223495483}]",IAO:0000314 document part
PMC5534341_v1,"Subsequent studies in mice revealed that gutmicrobes deaminate melamine to generate ammonia and cyanuric acid (82), the latter of which forms an insoluble complex with melamine in vivo, leading to renal toxicity (83).","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 177, ""end"": 184, ""score"": 0.9923421740531921}]",IAO:0000314 document part
PMC5534341_v1,"Klebsiella species are associated with cyanuric acid production in mice and generate this metabolite in vitro (82), but it remains unclear whether the gut microbiota or this organism contribute to melamine toxicity in humans.","[{""entity_group"": ""methodology"", ""word"": ""in vitro"", ""start"": 101, ""end"": 109, ""score"": 0.9937226176261902}]",IAO:0000314 document part
PMC5534341_v1,"However, the abundance of mer genes did not correlate with fecal methylmercury levels in a recent clinical study, raising the possibility of additional enzymes or indirect effects (87).","[{""entity_group"": ""methodology"", ""word"": ""clinical study"", ""start"": 98, ""end"": 112, ""score"": 0.9997850656509399}]",IAO:0000314 document part
PMC5534341_v1,"Notably, incubation of a mixture of 16 metal(oid)s with suspensions from an in vitro simulator of the GI tract resulted in volatilization of manymetal species and the production of As/S compounds not previously observed in biological systems (88).","[{""entity_group"": ""methodology"", ""word"": ""in vitro"", ""start"": 76, ""end"": 84, ""score"": 0.9936316013336182}]",IAO:0000314 document part
PMC5534341_v1,coli altered the efficacy of chemotherapy in vivo in a manner consistent with the observed metabolic activities.,"[{""entity_group"": ""methodology"", ""word"": ""vivo"", ""start"": 45, ""end"": 49, ""score"": 0.6915735006332397}]",IAO:0000314 document part
PMC5534341_v1,"Although a tyrosine decarboxylase from a foodassociated strain of Lactobacillus brevis accepts L-dopa in vitro (101), the human gut microbes and enzymes responsible for L-dopa metabolism are unknown.","[{""entity_group"": ""methodology"", ""word"": ""in vitro"", ""start"": 102, ""end"": 110, ""score"": 0.9372298121452332}]",IAO:0000314 document part
PMC5534341_v1,"For example, amygdalin is amandelonitrile glycoside found in almonds and fruit pits that was used as an alternative cancer treatment in the 1960s (103), although clinical trials demonstrated no improvements in cancer survival or symptoms (104).","[{""entity_group"": ""methodology"", ""word"": ""clinical trials"", ""start"": 162, ""end"": 177, ""score"": 0.9998685121536255}]",IAO:0000314 document part
PMC5534341_v1,"In fact, subsequent animal experiments showed that gut microbes hydrolyze the glycosidic linkage of amygdalin to release mandelonitrile, which spontaneously breaks down to produce benzaldehyde and toxic cyanide (28, 105).","[{""entity_group"": ""methodology"", ""word"": ""animal experiments"", ""start"": 20, ""end"": 38, ""score"": 0.999757707118988}]",IAO:0000314 document part
PMC5534341_v1,"Consequently, knowledge of the conditions influencing cgr gene expression successfully informed the design of a dietary intervention that reduces digoxin metabolism in vivo (37).","[{""entity_group"": ""methodology"", ""word"": ""dietary intervention"", ""start"": 112, ""end"": 132, ""score"": 0.9959484934806824}, {""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 165, ""end"": 172, ""score"": 0.9645877480506897}]",IAO:0000314 document part
PMC5534341_v1,"Consequently, knowledge of the conditions influencing cgr gene expression successfully informed the design of a dietary intervention that reduces digoxin metabolism in vivo (37).","[{""entity_group"": ""methodology"", ""word"": ""dietary intervention"", ""start"": 112, ""end"": 132, ""score"": 0.9959484934806824}, {""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 165, ""end"": 172, ""score"": 0.9645877480506897}]",IAO:0000314 document part
PMC5534341_v1,"The discovery of CutC has aided interventions to modulate choline metabolism in vivo, including the design of gut communities with decreased TMA production (116) and small-molecule inhibitors targeting this pathway (117).","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 77, ""end"": 84, ""score"": 0.9745872020721436}]",IAO:0000314 document part
PMC5534341_v1,Redinbo and coworkers have used an in vitro high-throughput screen to successfully identify potent and selective inhibitors of gut bacterial β-glucuronidases (Fig.,"[{""entity_group"": ""methodology"", ""word"": ""in vitro"", ""start"": 35, ""end"": 43, ""score"": 0.9877088665962219}]",IAO:0000314 document part
PMC5537798_v1,We selected 270 ethnic Chinese men and women from the Singapore Prospective Study Program based on their dietary habits assessed with a validated food frequency questionnaire.,"[{""entity_group"": ""methodology"", ""word"": ""prospective study"", ""start"": 64, ""end"": 81, ""score"": 0.995309054851532}]",IAO:0000315 textual abstract section
PMC5537798_v1,"Participants investigated in this study were from the Singapore Prospective Study Program (SP2), which is a population-based cross-sectional study in a multiethnic population in Singapore.","[{""entity_group"": ""methodology"", ""word"": ""prospective study"", ""start"": 64, ""end"": 81, ""score"": 0.9998579025268555}, {""entity_group"": ""methodology"", ""word"": ""cross - sectional study"", ""start"": 125, ""end"": 146, ""score"": 0.9998126029968262}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5537798_v1,The pooled quality control (QC) samples were prepared by mixing equal amounts (10 μL) of each plasma sample.,"[{""entity_group"": ""methodology"", ""word"": ""quality control"", ""start"": 11, ""end"": 26, ""score"": 0.9995164275169373}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5537798_v1,"A selection of 270 participants from the SP2 cohort was investigated (Figure 1), and they were divided into four dietary groups: HMHS, HMLS, LMHS, and LMLS consumers (Table 1).","[{""entity_group"": ""methodology"", ""word"": ""cohort"", ""start"": 45, ""end"": 51, ""score"": 0.9960107803344727}]",IAO:0000318 results section
PMC5537798_v1,"Lastly, our findings were observed in a single cohort and should be validated in an independent population of ethnic Chinese.","[{""entity_group"": ""methodology"", ""word"": ""cohort"", ""start"": 47, ""end"": 53, ""score"": 0.9964480996131897}]",IAO:0000319 discussion section
PMC5570356_v1,Dorsal root ganglia hypertrophy as in vivo correlate of oxaliplatin-induced polyneuropathy,"[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 35, ""end"": 42, ""score"": 0.9522799849510193}]",IAO:0000305 document title
PMC5570356_v1,To investigate in vivo morphological and functional correlates of oxaliplatin-induced peripheral neuropathy (OXA-PNP) by magnetic resonance neurography (MRN).,"[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 15, ""end"": 22, ""score"": 0.9946136474609375}]",IAO:0000315 textual abstract section
PMC5570356_v1,OXA-PNP manifests with morphological and functional correlates that can be detected in vivo by MRN.,"[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 84, ""end"": 91, ""score"": 0.9799833297729492}]",IAO:0000315 textual abstract section
PMC5570356_v1,"This study was approved by the ethics board of the medical faculty of Heidelberg University (S-357/2012), and written informed consent was obtained from all participants.","[{""entity_group"": ""methodology"", ""word"": ""written informed consent"", ""start"": 110, ""end"": 134, ""score"": 0.9999064803123474}]",IAO:0000317 methods section
PMC5570356_v1,"Exclusion criteria were the following: age < 18 or > 75; any history of symptomatic peripheral artery or cerebrovascular disease, alcoholism, end-stage renal disease, or any other disease known to be related to the manifestation of peripheral neuropathy (e.g., autoimmune disease, systemic vasculitis, or infectious diseases) except for chemotherapeutic treatment and diabetes mellitus; and any contraindication for MRI.","[{""entity_group"": ""methodology"", ""word"": ""exclusion criteria"", ""start"": 0, ""end"": 18, ""score"": 0.9998971819877625}]",IAO:0000317 methods section
PMC5570356_v1,The current study presents in vivo morphological and functional imaging results in patients with early OXA-PNP and identifies dorsal root ganglia hypertrophy as a hitherto unreported finding in OXA-PNP.,"[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 27, ""end"": 34, ""score"": 0.9919226765632629}]",IAO:0000319 discussion section
PMC5570356_v1,"Intraepidermal nerve fiber density measures acquired by skin punch biopsies or sural nerve biopsy are one method that can be used both in animal models and patients.[21] It is, however, invasive and only measures small distal nerve branches in a single skin area (commonly obtained from the lateral lower leg) and gives no direct measures of larger nerve fiber integrity or DRG.","[{""entity_group"": ""methodology"", ""word"": ""animal models"", ""start"": 138, ""end"": 151, ""score"": 0.9996792078018188}]",IAO:0000319 discussion section
PMC5570356_v1,"Based on electrophysiological evidence in man and experimental animal studies, the damage of OXA to the PNS is believed to occur mainly at the DRG with ensuing sensory neuronopathy of myelinated sensory nerve fibers.","[{""entity_group"": ""methodology"", ""word"": ""animal studies"", ""start"": 63, ""end"": 77, ""score"": 0.9987987279891968}]",IAO:0000319 discussion section
PMC5570356_v1,Experimental animal studies also describe the DRG as the main localization of nerve damage.,"[{""entity_group"": ""methodology"", ""word"": ""animal studies"", ""start"": 13, ""end"": 27, ""score"": 0.9966802597045898}]",IAO:0000319 discussion section
PMC5570356_v1,"Peripheral nerve findings in experimental neuroanatomical and electrophysiological studies have principally been axonopathy with largely intact myelin sheaths and endoneural space, and no alteration in size and number of endoneural vessels.[25, 26] Electrophysiological evidence and rare sural nerve biopsies in patients have been consistent with these experimental results.","[{""entity_group"": ""methodology"", ""word"": ""electrophysiological"", ""start"": 62, ""end"": 82, ""score"": 0.9011805653572083}]",IAO:0000319 discussion section
PMC5570356_v1,Dynamic contrast-enhanced perfusion is an MRI-based technique to investigate the perfusion of DRG in vivo and may become a useful tool in the investigation of sensory peripheral neuropathies.[34],"[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 98, ""end"": 105, ""score"": 0.95412677526474}]",IAO:0000319 discussion section
PMC5570356_v1,"For the prevention of OXA-PNP, a number of potential neuro-protective substances have been under development and investigation.[35, 36] However, until now, sufficient evidence for application of these substances into routine clinical practice could not be provided.","[{""entity_group"": ""methodology"", ""word"": ""clinical practice"", ""start"": 225, ""end"": 242, ""score"": 0.9970120191574097}]",IAO:0000319 discussion section
PMC5634558_v1,Established mapping populations such as the DGRP2 and the large number of mutant strains available from community stock centers ensure that Drosophila exercise studies can quickly move from GWAS/QTL analyses to the evaluation of candidate loci.,"[{""entity_group"": ""methodology"", ""word"": ""g"", ""start"": 190, ""end"": 191, ""score"": 0.9997385144233704}]",IAO:0000319 discussion section
PMC5646248_v1,"Here, we collected samples during a dietary crossover study with diets containing large or small amounts of RS.","[{""entity_group"": ""methodology"", ""word"": ""dietary crossover study"", ""start"": 36, ""end"": 59, ""score"": 0.8905707597732544}]",IAO:0000315 textual abstract section
PMC5646248_v1,"This multiomics approach captured changes in the abundance of specific bacterial species, proteins, and metabolites after a diet high in resistant starch (HRS), providing key insights into the influence of dietary interventions on the gut microbiome.","[{""entity_group"": ""methodology"", ""word"": ""dietary interventions"", ""start"": 206, ""end"": 227, ""score"": 0.9887827038764954}]",IAO:0000315 textual abstract section
PMC5646248_v1,"The dietary study included 39 participants with reduced insulin sensitivity, as assessed using a homeostatic model assessment of insulin resistance (HOMA-IR) below the median (14).","[{""entity_group"": ""methodology"", ""word"": ""dietary study"", ""start"": 4, ""end"": 17, ""score"": 0.9952543377876282}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,Crossover study design.,"[{""entity_group"": ""methodology"", ""word"": ""crossover study design"", ""start"": 0, ""end"": 22, ""score"": 0.9730351567268372}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,"Interpersonal variation was identified as an important factor, with samples clustering by patient throughout the dietary intervention (Fig.","[{""entity_group"": ""methodology"", ""word"": ""dietary intervention"", ""start"": 113, ""end"": 133, ""score"": 0.9957202076911926}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,"The 16S data also revealed that diet had a significant impact on the microbiome structure, irrespective of the time of sampling during the crossover study.","[{""entity_group"": ""methodology"", ""word"": ""crossover study"", ""start"": 139, ""end"": 154, ""score"": 0.9988949298858643}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,"For this reason, we classified samples based on the resistant starch load of the diet at the time of sampling (baseline, HRS, or LRS, respectively), without differentiating if that diet was assigned first or second during the crossover study.","[{""entity_group"": ""methodology"", ""word"": ""crossover study"", ""start"": 226, ""end"": 241, ""score"": 0.999549150466919}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,Cross-feeding effects between gut microbial populations have previously been shown to increase variability between individuals because butyrate producers often take longer to become established after a dietary intervention (23).,"[{""entity_group"": ""methodology"", ""word"": ""dietary intervention"", ""start"": 202, ""end"": 222, ""score"": 0.9984537959098816}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,The true power of our study design comes from the ability to examine results across the different omics levels for an integrated systems picture.,"[{""entity_group"": ""methodology"", ""word"": ""study design"", ""start"": 22, ""end"": 34, ""score"": 0.9992033243179321}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,"prausnitzii have been linked to dysbiosis in several human disorders (33), and using our integrated systems approach, we are able to better understand its function in vivo by relating its changes in abundance to changes in protein and metabolite abundance (in both host and microbe) as a function of diet.","[{""entity_group"": ""methodology"", ""word"": ""in vivo"", ""start"": 164, ""end"": 171, ""score"": 0.9994625449180603}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,"Taken together, the results emphasize the importance of longitudinal, multiomics study designs for unraveling the effects of nutrition on the microbiome and health.","[{""entity_group"": ""methodology"", ""word"": ""study designs"", ""start"": 81, ""end"": 94, ""score"": 0.9933086037635803}]",IAO:0000318 results section; IAO:0000319 discussion section
PMC5646248_v1,The study protocol was approved by the Institutional Review Board of Children’s Hospital and Research Center of Oakland.,"[{""entity_group"": ""methodology"", ""word"": ""study protocol"", ""start"": 4, ""end"": 18, ""score"": 0.9996403455734253}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5646248_v1,All participants gave written informed consent to take part in the study.,"[{""entity_group"": ""methodology"", ""word"": ""written informed consent"", ""start"": 22, ""end"": 46, ""score"": 0.9982649683952332}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5646248_v1,The study protocols were approved by the Human Subjects Committee of both Children’s Hospital Oakland Research Institute and Lawrence Berkeley National Laboratory.,"[{""entity_group"": ""methodology"", ""word"": ""study protocols"", ""start"": 4, ""end"": 19, ""score"": 0.9994254112243652}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5646248_v1,The study design is presented in Fig.,"[{""entity_group"": ""methodology"", ""word"": ""study design"", ""start"": 4, ""end"": 16, ""score"": 0.9988592863082886}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5646248_v1,"Study participants were randomly assigned to either the high-carbohydrate (HC) or low-carbohydrate (LC) arm of the study and then assigned to a sequence of the two experimental diets that added resistant starch in proportion to carbohydrate load: for 2500 kcal/day menus, the low resistant starch diet contained 3 g in the LC arm and 4 g in the HC arm, while the high resistant starch (HRS) diet contained 48 g in the LC arm and 66 g in the HC arm.","[{""entity_group"": ""methodology"", ""word"": ""randomly assigned"", ""start"": 24, ""end"": 41, ""score"": 0.9999123215675354}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5670500_v1,Diet-induced obese female Sprague-Dawley rats were randomized to one of four intervention groups for 8 weeks: (1) Obese-Control (consumed control diet during intervention); (2) Obese-OFS (10% OFS diet); (3) Obese-S (sitagliptin drug); (4) Obese-OFS + S (combination treatment).,"[{""entity_group"": ""methodology"", ""word"": ""intervention groups"", ""start"": 77, ""end"": 96, ""score"": 0.9972131252288818}]",IAO:0000315 textual abstract section
PMC5670500_v1,Ethical approval for the study was granted by the University of Calgary Life and Environmental Science Animal Care Committee and conformed to the Canadian Council on Animal Care guidelines.,"[{""entity_group"": ""methodology"", ""word"": ""guidelines"", ""start"": 178, ""end"": 188, ""score"": 0.9958817958831787}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5670500_v1,The rats with the highest weight gain were then randomized into one of four intervention groups for 8 weeks with AIN-93 control background diet: (1) Obese-Control (obese rats consuming control diet during intervention); (2) Obese-OFS (obese rats consuming 10% OFS diet during intervention); (3) Obese-S (obese rats treated with sitagliptin drug during the intervention); and (4) Obese-OFS + S (obese rats treated with combination treatment).,"[{""entity_group"": ""methodology"", ""word"": ""intervention groups"", ""start"": 76, ""end"": 95, ""score"": 0.9997593760490417}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5670500_v1,We included two groups of reference animals against which the intervention groups could be tested.,"[{""entity_group"": ""methodology"", ""word"": ""intervention groups"", ""start"": 62, ""end"": 81, ""score"": 0.9977525472640991}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5670500_v1,"The inclusion of the Lean-Control group, which had never been obese nor consumed the HFS diet, allowed us to determine if our intervention could mitigate the effects of obesity induction and restore pregnancy outcomes to those of the normal reference rats.","[{""entity_group"": ""methodology"", ""word"": ""control group"", ""start"": 26, ""end"": 39, ""score"": 0.9999032020568848}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5670500_v1,"Immediately following the fasted blood sample, a 2 g/kg glucose load was administered via oral gavage, and additional blood glucose measurements made at 15, 30, 60, 90, and 120 min.","[{""entity_group"": ""methodology"", ""word"": ""gavage"", ""start"": 95, ""end"": 101, ""score"": 0.9819663166999817}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5670500_v1,"In terms of pregnancy outcomes, a recent Canadian cohort study showed that a 10% difference in prepregnancy BMI-affected risk for preeclampsia, gestational diabetes, indicated preterm delivery, macrosomia, and still birth whereas larger differences in BMI were necessary to see lowered risk of cesarean delivery, in-hospital newborn mortality, shoulder dystocia, and neonatal intensive care unit stays (43).","[{""entity_group"": ""methodology"", ""word"": ""cohort study"", ""start"": 50, ""end"": 62, ""score"": 0.9993783831596375}]",IAO:0000319 discussion section
PMC5670500_v1,"While dietary intervention with OFS during pregnancy and lactation has previously been shown to alter maternal gut microbiota substantially (21, 49), intervening before pregnancy with OFS or sitagliptin did not have any lasting effects that could be detected at birth beyond increased C.","[{""entity_group"": ""methodology"", ""word"": ""dietary intervention"", ""start"": 6, ""end"": 26, ""score"": 0.9814677834510803}]",IAO:0000319 discussion section
PMC5670500_v1,"More research, at the basic and clinical level, is warranted to determine specific weight loss guidelines for women dealing with obesity-related infertility.","[{""entity_group"": ""methodology"", ""word"": ""guidelines"", ""start"": 95, ""end"": 105, ""score"": 0.5332012176513672}]",IAO:0000319 discussion section
PMC5691297_v1,"A Walnut-Enriched Diet Reduces Lipids in Healthy Caucasian Subjects, Independent of Recommended Macronutrient Replacement and Time Point of Consumption: A Prospective, Randomized, Controlled Trial","[{""entity_group"": ""methodology"", ""word"": ""controlled trial"", ""start"": 180, ""end"": 196, ""score"": 0.9482022523880005}]",IAO:0000305 document title
PMC5691297_v1,"We included 194 healthy subjects (134 females, age 63 ± 7 years, BMI 25.1 ± 4.0 kg/m2) in a randomized, controlled, prospective, cross-over study.","[{""entity_group"": ""methodology"", ""word"": ""cross - over study"", ""start"": 129, ""end"": 145, ""score"": 0.9995343685150146}]",IAO:0000315 textual abstract section
PMC5691297_v1,"In total, 194 subjects (60 men and 134 women) completed the study and were included in the main data analysis (complete case analysis).","[{""entity_group"": ""methodology"", ""word"": ""complete case analysis"", ""start"": 111, ""end"": 133, ""score"": 0.9978572726249695}]",IAO:0000317 methods section
PMC5691297_v1,"However, an intention to treat analysis was also performed.","[{""entity_group"": ""methodology"", ""word"": ""to treat"", ""start"": 22, ""end"": 30, ""score"": 0.9644491672515869}]",IAO:0000317 methods section
PMC5691297_v1,"The study was designed as a randomized, controlled, prospective, cross-over study.","[{""entity_group"": ""methodology"", ""word"": ""cross - over study"", ""start"": 65, ""end"": 81, ""score"": 0.9993101954460144}]",IAO:0000317 methods section
PMC5691297_v1,"Thereafter, subjects were randomized to two different diet phases, each lasting for 8 weeks (separated by a 4-week washout period, during which study subjects again followed a nut-free Western-type diet).","[{""entity_group"": ""methodology"", ""word"": ""washout period"", ""start"": 115, ""end"": 129, ""score"": 0.999431312084198}]",IAO:0000317 methods section
PMC5691297_v1,Primary analyses were performed in 194 subjects completing the study (complete case analyses).,"[{""entity_group"": ""methodology"", ""word"": ""complete case analyses"", ""start"": 70, ""end"": 92, ""score"": 0.99446040391922}]",IAO:0000317 methods section
PMC5691297_v1,"In addition, we also performed intention to treat analyses (ITT) of all 204 randomized subjects with all of the missing values imputed using single Markov chain Monte Carlo (MCMC) imputation.","[{""entity_group"": ""methodology"", ""word"": ""subjects"", ""start"": 87, ""end"": 95, ""score"": 0.7658276557922363}]",IAO:0000317 methods section
PMC5691297_v1,The study was conducted according to the guidelines in the Declaration of Helsinki and the ICH Harmonized Tripartite Guideline for Good Clinical Practice.,"[{""entity_group"": ""methodology"", ""word"": ""guidelines"", ""start"": 41, ""end"": 51, ""score"": 0.9993032217025757}, {""entity_group"": ""methodology"", ""word"": ""guideline"", ""start"": 117, ""end"": 126, ""score"": 0.9993934631347656}, {""entity_group"": ""methodology"", ""word"": ""clinical practice"", ""start"": 136, ""end"": 153, ""score"": 0.9784956574440002}]",IAO:0000317 methods section
PMC5691297_v1,The study protocol was approved by the ethics committee of the Faculty of Medicine of the University of Munich.,"[{""entity_group"": ""methodology"", ""word"": ""study protocol"", ""start"": 4, ""end"": 18, ""score"": 0.9996225833892822}]",IAO:0000317 methods section
PMC5691297_v1,"After adequate information, all of the subjects provided written informed consent.","[{""entity_group"": ""methodology"", ""word"": ""written informed consent"", ""start"": 57, ""end"": 81, ""score"": 0.9990994930267334}]",IAO:0000317 methods section
PMC5691297_v1,"Walnut consumption significantly reduced non-HDL-C, TC, LDL-C, VLDL-C, TG, VLDL-TG and apoB when compared with the control period (Table 2, Figure 3), but did not significantly change HDL-C and Lp (a).","[{""entity_group"": ""methodology"", ""word"": ""control period"", ""start"": 115, ""end"": 129, ""score"": 0.9967559576034546}]",IAO:0000318 results section
PMC5691297_v1,"Analysis of self-reported nutrient intakes from the four-day dietary reports showed that the study subjects did not fully maintain an isocaloric diet as recommended during both intervention periods, but increased caloric intake during walnut consumption (+423 kJ (101 kcal) vs.","[{""entity_group"": ""methodology"", ""word"": ""intervention periods"", ""start"": 177, ""end"": 197, ""score"": 0.9975717067718506}]",IAO:0000318 results section
PMC5691297_v1,"Furthermore, the results were virtually identical when an intention to treat analysis was performed.","[{""entity_group"": ""methodology"", ""word"": ""to treat"", ""start"": 68, ""end"": 76, ""score"": 0.972747266292572}]",IAO:0000319 discussion section
PMC5691297_v1,"These findings contrast with epidemiological studies that show an improvement in glucose parameters after nut consumption in subjects with or at risk of diabetes [28,31,32,33].","[{""entity_group"": ""methodology"", ""word"": ""epidemiological studies"", ""start"": 29, ""end"": 52, ""score"": 0.918022632598877}]",IAO:0000319 discussion section
PMC5691297_v1,"Indeed, data from both observational and clinical studies show that supplementing nuts to habitual diets does not cause weight gain [37,38], despite the fact that subjects often seem to consume more energy when eating nuts.","[{""entity_group"": ""methodology"", ""word"": ""observational"", ""start"": 23, ""end"": 36, ""score"": 0.6711856126785278}, {""entity_group"": ""methodology"", ""word"": ""clinical studies"", ""start"": 41, ""end"": 57, ""score"": 0.991145670413971}]",IAO:0000319 discussion section
PMC5691297_v1,"A major strength of our study is its prospective, randomized, cross-over design with washout periods to ensure good basic conditions.","[{""entity_group"": ""methodology"", ""word"": ""cross - over design"", ""start"": 62, ""end"": 79, ""score"": 0.9996104836463928}, {""entity_group"": ""methodology"", ""word"": ""##out periods"", ""start"": 89, ""end"": 100, ""score"": 0.9720301032066345}]",IAO:0000319 discussion section
PMC5708064_v1,"Based on General Linear Models, the lipid- or creatinine-adjusted geometric mean concentrations of the aforementioned chemicals did not differ between the ASD case and TD control groups (all p ≥ 0.27).","[{""entity_group"": ""methodology"", ""word"": ""case and"", ""start"": 159, ""end"": 167, ""score"": 0.8487205505371094}, {""entity_group"": ""methodology"", ""word"": ""control"", ""start"": 171, ""end"": 178, ""score"": 0.5462402105331421}]",IAO:0000315 textual abstract section
PMC5708064_v1,"This pilot study was designed as a 1:1 age-, race-, and sex-matched case-control study of children with ASD and TD controls aged 2–8 years.","[{""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 5, ""end"": 16, ""score"": 0.9992501735687256}, {""entity_group"": ""methodology"", ""word"": ""case - control study"", ""start"": 68, ""end"": 86, ""score"": 0.9601753354072571}]",IAO:0000633 materials section; IAO:0000317 methods section
PMC5708064_v1,"Although the sample size was limited in this pilot study, we have reported concentrations of 7 dioxin congeners and 10 dibenzofurans in serum, and BPA and 10 phthalate ester metabolite concentrations in urine of children with and without ASD, ages 2–8 along the Gulf of Mexico as a reference for future studies.","[{""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 45, ""end"": 56, ""score"": 0.9998781681060791}]",IAO:0000319 discussion section
PMC5708064_v1,"In 2013, NHANES conducted a pilot study to assess the feasibility of assessing the concentration of BPA and PEMs among American children aged 3–5 years, which is a more comparable age range to the children included in the present study.","[{""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 28, ""end"": 39, ""score"": 0.9997068643569946}]",IAO:0000319 discussion section
PMC5708064_v1,"This NHANES pilot study reported a higher creatinine-adjusted mean BPA concentration (3.0 µg/g) among children 3–5 years than we reported in our study, however the NHANES pilot study included a convenience sample of n = 122 children and was not population-based [57].","[{""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 12, ""end"": 23, ""score"": 0.9997401237487793}, {""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 171, ""end"": 182, ""score"": 0.9992496967315674}]",IAO:0000319 discussion section
PMC5708064_v1,"The NHANES pilot study on children 3–5 years reported an adjusted geometric mean MBzP concentration of 13.7 µg/g, which is also comparable to our TD group and lower than the ASD group [57].","[{""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 11, ""end"": 22, ""score"": 0.9998761415481567}]",IAO:0000319 discussion section
PMC5708064_v1,"Using the same method for estimating the mean concentration of MBP, results from the NHANES pilot study on children 3–5 years for the concentration of MBP (40.0 µg/g) is more comparable to our results [57].","[{""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 92, ""end"": 103, ""score"": 0.9996544122695923}]",IAO:0000319 discussion section
PMC5708064_v1,"In the NHANES pilot study on children 3–5 years, the geometric mean concentration of MEHHP (20.3 µg/g) was higher when compared to our results [57].","[{""entity_group"": ""methodology"", ""word"": ""pilot study"", ""start"": 14, ""end"": 25, ""score"": 0.9998652338981628}]",IAO:0000319 discussion section
